ActionID,Date,UserID,Login,ObjectType,ActionType,Sum,IpAddress,Description
14376463,"2020-07-22 11:05:26",244190,OR0902,Пользователь,"Вход в личный кабинет",,68.205.180.127,"Login IP: 68.205.*.*"
14376464,"2020-07-22 11:05:36",244190,OR0902,Пользователь,"Выход из личного кабинета",,68.205.180.127,
14376523,"2020-07-22 11:24:59",244190,OR0902,Пользователь,"Вход в личный кабинет",,68.205.180.127,"Login IP: 68.205.*.*"
14376525,"2020-07-22 11:25:32",244190,OR0902,Пользователь,"Выход из личного кабинета",,68.205.180.127,
14376527,"2020-07-22 11:26:03",244190,OR0902,Пользователь,"Вход в личный кабинет",,68.205.180.127,"Login IP: 68.205.*.*"
14376528,"2020-07-22 11:26:25",244190,OR0902,Пользователь,"Выход из личного кабинета",,68.205.180.127,
14376775,"2020-07-22 12:35:02",244190,OR0902,Пользователь,"Вход в личный кабинет",,68.205.180.127,"Login IP: 68.205.*.*"
14376782,"2020-07-22 12:35:37",244190,OR0902,Пользователь,"Выход из личного кабинета",,68.205.180.127,
14377274,"2020-07-22 14:09:23",244190,OR0902,Пользователь,"Вход в личный кабинет",,68.205.180.127,"Login IP: 68.205.*.*"
14377276,"2020-07-22 14:09:37",244190,OR0902,Пользователь,"Выход из личного кабинета",,68.205.180.127,
14377398,"2020-07-22 15:14:18",244190,OR0902,Пользователь,"Вход в личный кабинет",,68.205.180.127,"Login IP: 68.205.*.*"
14377406,"2020-07-22 15:19:38",244190,OR0902,Пользователь,"Выход из личного кабинета",,68.205.180.127,
